county_name,date,county,state,fips,cases,deaths,county_name
"Oakland, Michigan",2020-04-09,Oakland,Michigan,26125.0,4247,246,"Oakland, Michigan"
"Jefferson, Louisiana",2020-04-09,Jefferson,Louisiana,22051.0,4480,158,"Jefferson, Louisiana"
"Middlesex, New Jersey",2020-04-09,Middlesex,New Jersey,34023.0,4628,152,"Middlesex, New Jersey"
"Passaic, New Jersey",2020-04-09,Passaic,New Jersey,34031.0,4690,82,"Passaic, New Jersey"
"Fairfield, Connecticut",2020-04-09,Fairfield,Connecticut,9001.0,4882,178,"Fairfield, Connecticut"
"Philadelphia, Pennsylvania",2020-04-09,Philadelphia,Pennsylvania,42101.0,5029,86,"Philadelphia, Pennsylvania"
"Union, New Jersey",2020-04-09,Union,New Jersey,34039.0,5203,145,"Union, New Jersey"
"Orleans, Louisiana",2020-04-09,Orleans,Louisiana,22071.0,5242,224,"Orleans, Louisiana"
"Hudson, New Jersey",2020-04-09,Hudson,New Jersey,34017.0,5879,132,"Hudson, New Jersey"
"Miami-Dade, Florida",2020-04-09,Miami-Dade,Florida,12086.0,5897,66,"Miami-Dade, Florida"
"Essex, New Jersey",2020-04-09,Essex,New Jersey,34013.0,6069,312,"Essex, New Jersey"
"Rockland, New York",2020-04-09,Rockland,New York,36087.0,6665,117,"Rockland, New York"
"Los Angeles, California",2020-04-09,Los Angeles,California,6037.0,7955,223,"Los Angeles, California"
"Bergen, New Jersey",2020-04-09,Bergen,New Jersey,34003.0,8343,345,"Bergen, New Jersey"
"Wayne, Michigan",2020-04-09,Wayne,Michigan,26163.0,10093,504,"Wayne, Michigan"
"Cook, Illinois",2020-04-09,Cook,Illinois,17031.0,11415,351,"Cook, Illinois"
"Westchester, New York",2020-04-09,Westchester,New York,36119.0,17004,389,"Westchester, New York"
"Suffolk, New York",2020-04-09,Suffolk,New York,36103.0,17413,369,"Suffolk, New York"
"Nassau, New York",2020-04-09,Nassau,New York,36059.0,20140,778,"Nassau, New York"
"New York City, New York",2020-04-09,New York City,New York,,87028,5150,"New York City, New York"
